ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
0,5,0,0,1,86
1,6,0,0,1,38
2,11,0,0,1,16
3,13,0,0,1,3
4,15,0,0,1,1
5,17,0,0,1,0
6,5,1,0,1,101
7,6,1,0,1,95
8,11,1,0,1,95
9,13,1,0,1,98
10,15,1,0,1,81
11,17,1,0,1,80
