ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
0,5,0,0,1,30
1,6,0,0,1,0
2,11,0,0,1,0
3,13,0,0,1,0
4,15,0,0,1,0
5,17,0,0,1,0
6,5,1,0,1,98
7,6,1,0,1,2
8,11,1,0,1,1
9,13,1,0,1,0
10,15,1,0,1,0
11,17,1,0,1,0
12,5,2,0,1,92
13,6,2,0,1,87
14,11,2,0,1,11
15,13,2,0,1,3
16,15,2,0,1,2
17,17,2,0,1,1
18,5,3,0,1,98
19,6,3,0,1,95
20,11,3,0,1,80
21,13,3,0,1,13
22,15,3,0,1,2
23,17,3,0,1,1
24,5,4,0,1,92
25,6,4,0,1,90
26,11,4,0,1,83
27,13,4,0,1,85
28,15,4,0,1,21
29,17,4,0,1,19
30,5,5,0,1,97
31,6,5,0,1,95
32,11,5,0,1,89
33,13,5,0,1,94
34,15,5,0,1,67
35,17,5,0,1,71
36,5,6,0,1,103
37,6,6,0,1,98
38,11,6,0,1,94
39,13,6,0,1,98
40,15,6,0,1,95
41,17,6,0,1,92
42,5,7,0,1,104
43,6,7,0,1,101
44,11,7,0,1,102
45,13,7,0,1,104
46,15,7,0,1,102
47,17,7,0,1,100
