studentid,gender,agegroup,continent,background
1030165,M,35,Europe,B
1030166,M,25,South America,C
1030167,F,25,Unknown,D
1030168,M,18,Unknown,D
1030169,M,65,Europe,C
1030170,M,18,Unknown,D
1030171,M,25,Unknown,A
1030172,M,18,Unknown,B
1030173,M,35,North America,A
1030174,F,18,Unknown,A
1030175,M,25,Unknown,B
1030176,M,35,Europe,D
1030177,M,25,Asia,B
1030178,M,25,Europe,C
1030179,M,25,Asia,C
1030180,M,25,North America,B
1030181,M,0,Africa,C
1030182,M,18,Unknown,B
1030183,M,25,North America,D
1030184,M,25,North America,C
1030185,M,25,Europe,B
1030186,M,18,North America,D
1030187,M,18,North America,B
1030188,M,18,Australia,C
1030189,M,35,Europe,C
1030190,F,25,Unknown,C
1030191,M,25,North America,A
1030192,F,18,Europe,B
1030193,M,25,North America,A
1030194,M,25,Europe,C
1030195,F,25,Europe,C
1030196,M,18,Unknown,A
1030197,M,18,North America,C
1030198,M,25,North America,B
1030199,M,45,South America,C
1030200,M,35,South America,C
1030201,M,45,Africa,D
1030202,M,35,North America,C
1030203,M,35,Europe,B
1030204,M,25,Europe,C
1030205,M,45,Africa,B
1030206,M,35,South America,D
1030207,M,25,South America,A
1030208,M,25,Africa,C
1030209,M,18,North America,C
1030210,M,25,Europe,C
1030211,M,35,North America,C
1030212,M,18,North America,D
1030213,M,25,North America,D
1030214,M,35,North America,C
1030215,M,25,North America,A
1030216,M,35,North America,D
1030217,F,25,Europe,D
1030218,M,35,Unknown,A
1030219,M,25,Asia,D
1030220,M,35,Europe,C
1030221,F,35,Europe,B
1030222,F,35,North America,D
1030223,F,18,Europe,C
1030224,M,55,Unknown,B
1030225,M,45,North America,D
1030226,M,18,Asia,A
1030227,M,25,North America,D
1030228,M,25,Africa,B
1030229,M,35,Asia,B
1030230,M,18,Africa,A
1030231,M,18,Unknown,C
1030232,F,25,Unknown,C
1030233,F,25,Unknown,D
1030234,M,25,North America,C
1030235,M,18,North America,C
1030236,F,18,North America,A
1030237,M,25,North America,A
1030238,M,25,Asia,C
1030239,M,18,Europe,B
1030240,M,18,Unknown,C
1030241,M,25,North America,C
1030242,M,25,North America,C
1030243,F,18,Asia,B
1030244,M,35,Europe,C
1030245,M,18,Unknown,A
1030246,M,25,North America,A
1030247,M,35,Africa,D
1030248,F,18,North America,D
1030249,F,35,Unknown,D
1030250,M,18,North America,D
1030251,M,18,North America,D
1030252,M,25,North America,D
1030253,M,18,Unknown,C
1030254,M,25,Asia,D
1030255,M,45,North America,C
1030256,M,18,Asia,C
1030257,M,25,North America,C
1030258,M,18,North America,C
1030259,F,25,Europe,D
1030260,M,18,Europe,C
1030261,M,25,Europe,D
1030262,M,18,North America,D
1030263,M,25,Asia,B
1030264,M,35,Unknown,B
1030265,M,25,Europe,B
1030266,M,25,Europe,D
1030267,M,25,South America,C
1030268,M,18,South America,D
1030269,F,25,South America,B
1030270,M,35,Africa,C
1030271,M,18,Europe,C
1030272,F,18,Africa,B
1030273,F,25,Europe,B
1030274,F,25,Europe,A
1030275,F,18,Africa,C
1030276,M,25,North America,D
1030277,M,25,North America,D
1030278,F,35,North America,A
1030279,M,18,Unknown,C
1030280,M,35,North America,A
1030281,M,25,North America,C
1030282,M,18,Asia,D
1030283,M,0,Unknown,A
1030284,F,18,Unknown,C
1030285,M,35,Unknown,B
1030286,M,25,Unknown,C
1030287,M,18,Africa,C
1030288,M,18,North America,D
1030289,M,25,North America,D
1030290,M,18,North America,D
1030291,M,18,Europe,C
1030292,M,35,Africa,A
1030293,M,18,North America,C
1030294,M,25,Europe,C
1030295,F,18,Europe,A
1030296,M,18,North America,A
1030297,M,18,Asia,A
1030298,M,25,Unknown,C
1030299,M,18,Europe,C
1030300,M,25,Europe,C
1030301,M,25,North America,D
1030302,M,18,North America,B
1030303,M,25,North America,D
1030304,M,45,North America,A
1030305,M,25,Asia,D
1030306,M,25,North America,D
1030307,M,25,Africa,C
1030308,M,25,Europe,C
1030309,M,55,Europe,D
1030310,M,25,Europe,A
1030311,M,35,South America,D
1030312,F,25,Asia,C
1030313,M,25,Unknown,C
1030314,M,55,North America,B
1030315,M,25,North America,B
1030316,M,25,Europe,D
1030317,F,25,North America,D
1030318,M,25,Europe,A
1030319,M,35,Unknown,D
1030320,M,0,Asia,D
1030321,F,25,Europe,C
1030322,M,45,North America,C
1030323,M,35,Africa,C
1030324,M,18,North America,A
1030325,M,25,Unknown,C
1030326,M,35,Asia,B
1030327,M,18,Asia,C
1030328,M,25,North America,C
1030329,M,25,Asia,C
1030330,M,35,North America,A
1030331,M,35,South America,C
1030332,F,25,Asia,B
1030333,M,25,Unknown,C
1030334,F,25,South America,D
1030335,M,18,Europe,C
1030336,M,25,Asia,C
1030337,M,55,North America,A
1030338,M,18,Europe,D
1030339,F,25,Unknown,D
1030340,M,25,Europe,A
1030341,F,18,Unknown,C
1030342,M,25,South America,D
1030343,M,25,Asia,D
1030344,F,25,Europe,D
1030345,F,25,Asia,C
1030346,M,25,North America,A
1030347,M,25,North America,A
1030348,M,25,Unknown,B
1030349,M,25,North America,C
1030350,M,18,Europe,C
