studentid,gender,agegroup,continent,background
1030351,M,55,North America,D
1030352,M,18,Unknown,D
1030353,F,35,North America,C
1030354,M,25,Europe,D
1030355,M,18,North America,B
1030356,M,18,Europe,B
1030357,M,35,Asia,D
1030358,M,35,North America,B
1030359,M,18,Europe,C
1030360,M,45,Europe,A
1030361,M,25,Europe,D
1030362,M,55,Europe,D
1030363,M,18,North America,A
1030364,M,18,Europe,D
1030365,F,18,Europe,B
1030366,M,18,Europe,B
1030367,M,25,Europe,C
1030368,M,18,Asia,C
1030369,F,35,Asia,D
1030370,F,25,Europe,C
1030371,M,25,South America,C
1030372,F,35,Europe,D
1030373,F,45,Africa,D
1030374,M,18,Europe,C
1030375,M,25,Europe,A
1030376,M,35,Africa,C
1030377,M,18,North America,A
1030378,F,25,Australia,B
1030379,M,18,Unknown,A
1030380,F,25,North America,C
1030381,M,18,North America,D
1030382,M,18,North America,D
1030383,M,25,North America,A
1030384,M,25,North America,A
1030385,M,18,North America,D
1030386,M,45,Europe,C
1030387,M,18,South America,C
1030388,M,35,North America,C
1030389,M,18,Europe,A
1030390,M,25,North America,D
1030391,M,25,Europe,C
1030392,M,25,North America,B
1030393,M,25,Europe,A
1030394,M,18,Unknown,C
1030395,F,25,Asia,C
1030396,M,25,Asia,A
1030397,M,18,North America,A
1030398,M,18,Unknown,C
1030399,F,18,Europe,D
1030400,F,25,Asia,C
1030401,M,18,Asia,C
1030402,M,25,Europe,A
1030403,F,65,Africa,B
1030404,M,18,Unknown,C
1030405,M,55,Unknown,D
1030406,M,25,North America,D
1030407,F,18,Unknown,D
1030408,M,35,North America,A
1030409,M,25,Europe,B
1030410,F,0,North America,C
1030411,F,25,North America,A
1030412,F,18,Europe,C
1030413,M,35,North America,A
1030414,M,55,Asia,B
1030415,F,25,Unknown,A
1030416,M,25,North America,C
1030417,M,25,Africa,C
1030418,M,25,Africa,D
1030419,M,18,Europe,C
1030420,F,18,North America,A
1030421,M,45,Europe,D
1030422,M,18,Asia,A
1030423,M,25,Europe,C
1030424,M,25,Asia,B
1030425,M,0,North America,B
1030426,F,18,Unknown,D
1030427,M,18,Unknown,B
1030428,M,25,Africa,C
1030429,M,25,Europe,B
1030430,M,25,Asia,D
1030431,M,18,North America,D
1030432,M,25,Europe,B
1030433,F,45,North America,C
1030434,M,25,Unknown,B
1030435,M,18,Asia,B
1030436,M,25,Europe,B
1030437,F,18,Africa,C
1030438,M,25,Europe,C
1030439,M,18,North America,C
1030440,M,25,North America,B
1030441,M,25,North America,D
1030442,M,35,South America,D
1030443,F,25,Europe,A
1030444,M,25,North America,C
1030445,M,35,Europe,A
1030446,M,35,North America,D
1030447,M,35,Asia,D
1030448,F,18,South America,D
1030449,M,25,Europe,D
1030450,M,25,Europe,A
1030451,F,18,Africa,A
1030452,M,35,Africa,B
1030453,M,18,Africa,C
1030454,M,25,North America,B
1030455,M,35,Asia,A
1030456,M,35,North America,B
1030457,F,0,North America,B
1030458,M,18,North America,D
1030459,M,18,Asia,A
1030460,M,35,North America,A
1030461,M,35,Africa,C
1030462,F,18,North America,B
1030463,M,25,North America,C
1030464,M,18,Unknown,C
1030465,F,18,North America,C
1030466,M,55,Europe,D
1030467,F,18,North America,A
1030468,F,55,Asia,A
1030469,M,25,Europe,A
1030470,M,25,Asia,D
1030471,M,35,Africa,A
1030472,M,0,North America,C
1030473,M,25,North America,C
1030474,M,45,South America,D
1030475,M,25,South America,C
1030476,M,55,South America,A
1030477,M,25,Asia,B
1030478,F,25,North America,D
1030479,M,18,North America,D
1030480,M,25,North America,A
1030481,M,18,Unknown,C
1030482,M,25,North America,B
1030483,M,25,North America,B
1030484,M,25,Unknown,D
1030485,M,25,Asia,A
1030486,M,18,North America,A
1030487,M,35,Africa,D
1030488,F,18,Europe,A
1030489,M,25,Unknown,C
1030490,M,18,North America,A
1030491,M,35,Europe,D
1030492,M,18,Africa,A
1030493,M,25,Unknown,D
1030494,M,18,South America,D
1030495,M,45,North America,C
1030496,M,25,Unknown,C
1030497,M,25,North America,B
1030498,M,25,Africa,D
1030499,F,18,North America,B
1030500,M,35,Europe,C
1030501,M,18,Unknown,C
1030502,M,45,Unknown,A
1030503,M,25,North America,B
1030504,M,18,Europe,D
1030505,M,18,North America,A
1030506,M,25,South America,B
1030507,M,45,Africa,C
1030508,M,25,North America,C
1030509,M,18,Unknown,D
1030510,M,45,Europe,A
1030511,F,18,Unknown,C
1030512,M,18,North America,A
1030513,M,35,Unknown,D
1030514,F,35,Unknown,D
1030515,M,45,South America,D
1030516,M,25,Unknown,B
1030517,M,35,North America,B
1030518,M,18,Unknown,D
1030519,M,25,Unknown,A
1030520,F,25,Unknown,C
1030521,M,25,North America,B
1030522,M,18,Australia,C
1030523,M,25,Europe,C
1030524,M,25,Europe,C
1030525,F,18,Australia,C
1030526,M,25,Unknown,B
1030527,M,25,South America,B
1030528,M,45,South America,C
1030529,M,18,Unknown,C
1030530,M,18,Australia,D
1030531,M,25,Europe,C
1030532,M,35,Europe,C
1030533,M,45,North America,B
1030534,M,25,North America,C
1030535,M,18,Europe,A
1030536,M,35,Unknown,C
1030537,M,45,Unknown,C
1030538,M,35,Europe,C
1030539,M,25,North America,C
1030540,M,25,North America,D
1030541,M,55,North America,C
1030542,M,18,South America,B
1030543,M,18,North America,C
1030544,F,25,North America,A
1030545,M,25,Europe,D
1030546,F,25,South America,D
1030547,M,25,North America,D
1030548,M,25,North America,C
1030549,M,25,North America,B
1030550,M,35,South America,A
1030551,M,25,North America,D
1030552,M,25,North America,C
1030553,F,18,Asia,C
1030554,M,35,North America,A
1030555,M,0,North America,C
1030556,M,25,Africa,A
1030557,M,18,North America,B
1030558,M,25,North America,B
1030559,M,45,Africa,A
1030560,F,35,Europe,D
1030561,F,25,Africa,D
1030562,M,25,North America,B
1030563,F,35,Europe,B
1030564,M,35,Asia,C
1030565,M,18,Europe,B
1030566,M,35,Europe,C
1030567,M,18,South America,C
1030568,M,25,Unknown,C
1030569,F,25,North America,D
1030570,M,55,Africa,C
1030571,M,35,North America,C
1030572,M,18,Africa,C
1030573,M,25,Europe,A
1030574,M,25,Asia,B
1030575,M,18,Unknown,D
1030576,F,18,Africa,C
1030577,M,0,North America,B
1030578,M,18,North America,C
1030579,M,18,Africa,A
1030580,M,18,Asia,C
1030581,M,18,Asia,B
1030582,M,25,Europe,C
1030583,M,18,Africa,D
1030584,F,45,North America,B
1030585,F,35,Europe,D
1030586,M,65,Asia,A
1030587,M,35,North America,A
1030588,M,35,North America,A
1030589,M,18,Unknown,A
1030590,M,18,North America,D
1030591,M,18,North America,A
1030592,M,18,North America,C
1030593,M,25,Australia,C
1030594,M,25,North America,D
1030595,F,25,North America,C
1030596,M,25,Asia,C
1030597,M,18,Europe,A
1030598,F,18,North America,B
1030599,M,25,Europe,B
1030600,M,45,Europe,A
1030601,M,18,North America,B
1030602,M,35,North America,C
1030603,F,25,North America,C
1030604,M,25,North America,B
1030605,M,18,North America,C
1030606,M,25,Asia,B
1030607,M,18,North America,A
1030608,M,18,Africa,B
1030609,M,18,South America,B
1030610,M,18,Asia,C
1030611,M,65,North America,D
1030612,M,18,North America,B
1030613,M,35,North America,D
1030614,M,25,North America,C
1030615,M,25,North America,B
1030616,M,18,Unknown,B
1030617,M,18,Asia,D
1030618,F,25,North America,C
1030619,M,25,North America,D
1030620,M,18,North America,D
1030621,M,25,Europe,C
1030622,M,25,Europe,B
1030623,M,25,North America,D
1030624,M,0,Africa,C
1030625,M,35,North America,A
1030626,F,18,Asia,A
1030627,M,45,North America,C
1030628,M,35,Europe,B
1030629,M,18,Europe,C
1030630,M,55,North America,C
1030631,M,18,Africa,B
1030632,M,25,Europe,B
1030633,M,18,Asia,C
1030634,M,25,Europe,B
1030635,M,18,North America,C
1030636,M,25,Europe,C
1030637,M,35,Unknown,D
1030638,M,35,North America,A
1030639,M,35,Asia,D
1030640,F,25,Asia,D
1030641,F,35,South America,C
1030642,F,18,North America,B
1030643,M,18,Unknown,A
1030644,M,18,North America,C
1030645,M,35,Europe,C
1030646,M,25,Unknown,D
1030647,M,18,Asia,D
1030648,M,45,Asia,C
1030649,M,35,South America,D
1030650,M,18,Europe,D
1030651,M,25,Unknown,D
1030652,F,25,Asia,B
1030653,F,18,Asia,C
1030654,M,35,Asia,A
1030655,M,25,North America,B
1030656,M,18,Africa,C
1030657,M,55,Unknown,B
1030658,M,18,North America,D
1030659,M,25,Unknown,D
1030660,M,18,Asia,B
1030661,M,25,North America,B
1030662,M,35,North America,B
1030663,F,25,Africa,B
1030664,M,35,Unknown,C
1030665,M,25,Europe,B
1030666,M,25,Unknown,B
1030667,M,18,Europe,C
1030668,M,18,Asia,D
1030669,F,18,Unknown,C
1030670,M,18,Europe,B
1030671,M,18,North America,A
1030672,M,35,North America,D
1030673,M,65,Europe,D
1030674,M,25,Unknown,C
1030675,M,45,Europe,C
1030676,M,45,North America,A
1030677,M,25,Europe,D
1030678,M,18,North America,D
1030679,M,25,North America,C
1030680,F,18,Asia,B
1030681,M,25,Asia,D
1030682,M,45,Asia,C
1030683,M,0,Africa,D
1030684,M,35,North America,D
1030685,M,55,Asia,B
1030686,M,18,South America,C
1030687,M,0,Asia,C
1030688,M,25,Europe,B
1030689,F,25,Africa,C
1030690,M,35,North America,B
1030691,M,25,Europe,C
1030692,M,45,Unknown,A
1030693,M,35,North America,C
1030694,M,25,North America,C
1030695,M,18,North America,C
1030696,F,35,Asia,A
1030697,M,25,Africa,D
1030698,M,25,Europe,D
1030699,F,18,Africa,D
1030700,M,25,Asia,C
1030701,F,55,Europe,C
1030702,M,25,Europe,B
1030703,M,18,South America,B
1030704,M,18,Europe,D
1030705,F,18,Africa,C
1030706,M,25,Unknown,B
1030707,M,45,Africa,D
1030708,M,25,Unknown,C
1030709,M,35,Australia,A
1030710,F,0,Africa,B
1030711,M,25,Unknown,B
1030712,M,18,Unknown,B
1030713,M,25,Unknown,A
1030714,M,18,North America,C
1030715,M,35,North America,A
1030716,M,25,North America,D
1030717,M,25,South America,D
1030718,M,25,South America,A
1030719,M,45,Unknown,A
1030720,M,18,North America,C
1030721,F,35,Europe,B
1030722,M,35,Europe,C
1030723,M,25,North America,B
1030724,M,25,North America,A
1030725,M,18,Unknown,D
1030726,M,25,Europe,A
1030727,M,65,Unknown,D
1030728,F,18,North America,D
1030729,M,18,Africa,B
1030730,F,18,Unknown,B
1030731,M,0,Unknown,C
1030732,M,25,North America,C
1030733,M,55,North America,B
1030734,M,18,North America,C
1030735,M,18,Asia,A
1030736,M,18,Africa,C
1030737,M,18,Unknown,C
1030738,F,55,Europe,D
1030739,F,25,South America,B
1030740,M,25,Europe,B
1030741,M,18,North America,B
1030742,M,35,South America,B
1030743,M,45,Asia,C
1030744,M,35,Africa,A
1030745,F,25,Europe,D
1030746,M,25,Unknown,C
1030747,M,18,Asia,C
1030748,M,18,Africa,C
1030749,M,25,North America,C
1030750,F,25,Unknown,B
1030751,F,18,North America,B
1030752,M,25,South America,C
1030753,M,25,Europe,D
1030754,M,25,Europe,A
1030755,M,18,Unknown,C
1030756,M,35,Asia,C
1030757,M,65,South America,A
1030758,M,35,Europe,A
1030759,M,18,Unknown,C
1030760,M,25,Europe,B
1030761,F,18,North America,A
1030762,F,35,Unknown,C
1030763,M,45,Australia,B
1030764,M,18,Unknown,C
1030765,M,35,Unknown,A
1030766,M,25,Africa,D
1030767,F,25,North America,C
1030768,F,25,North America,A
1030769,F,25,Africa,C
1030770,M,25,North America,D
1030771,F,18,South America,B
1030772,M,0,North America,C
1030773,M,35,Asia,C
1030774,M,18,Europe,D
1030775,M,35,Unknown,A
1030776,M,25,North America,D
1030777,M,25,North America,C
1030778,M,35,South America,B
1030779,M,45,Asia,A
1030780,M,18,Europe,D
1030781,M,25,North America,C
1030782,M,25,Europe,B
1030783,F,25,Africa,C
1030784,M,18,North America,D
1030785,M,25,Europe,A
1030786,M,25,North America,D
1030787,M,18,Unknown,D
1030788,M,25,Europe,B
1030789,M,25,Asia,C
1030790,M,18,Europe,D
1030791,M,25,Unknown,C
1030792,M,35,North America,D
1030793,M,18,North America,D
1030794,F,18,North America,D
1030795,M,25,Europe,C
1030796,M,45,Unknown,B
1030797,M,18,North America,A
1030798,M,45,North America,D
1030799,M,18,Africa,C
1030800,F,35,Africa,A
1030801,M,25,Europe,B
1030802,M,18,Asia,C
1030803,M,35,Africa,D
1030804,M,18,Europe,B
1030805,M,18,Europe,C
1030806,M,25,Europe,C
1030807,M,35,North America,B
1030808,M,18,Unknown,B
1030809,M,35,North America,C
1030810,M,25,North America,C
1030811,M,25,Europe,B
1030812,M,25,Unknown,A
1030813,M,18,North America,D
1030814,M,35,Africa,C
1030815,M,18,North America,C
1030816,M,25,North America,D
1030817,M,18,North America,B
1030818,M,25,Unknown,A
1030819,M,18,Europe,B
1030820,M,18,Unknown,C
1030821,M,18,North America,C
1030822,M,25,South America,C
1030823,F,25,Unknown,C
1030824,M,35,Unknown,A
1030825,M,25,Asia,B
1030826,M,45,North America,D
1030827,M,18,Africa,C
1030828,M,25,Europe,A
1030829,M,25,Asia,B
1030830,F,18,North America,D
1030831,F,25,North America,C
1030832,M,25,Europe,C
1030833,M,18,Europe,B
1030834,F,18,South America,A
1030835,M,35,North America,A
1030836,M,18,Europe,C
1030837,M,18,Unknown,B
1030838,M,25,North America,A
1030839,F,18,Unknown,D
1030840,M,25,Africa,C
1030841,M,18,Asia,D
1030842,F,18,Asia,C
1030843,F,45,Africa,C
1030844,M,25,Unknown,D
1030845,M,18,Unknown,D
1030846,M,25,North America,D
1030847,M,25,Unknown,D
1030848,M,25,Unknown,D
1030849,M,18,Asia,A
1030850,M,0,Europe,A
1030851,M,18,Unknown,D
1030852,M,25,Europe,C
1030853,M,25,North America,B
1030854,M,18,North America,D
1030855,F,25,North America,A
1030856,M,25,North America,B
1030857,M,18,North America,C
1030858,M,18,Europe,B
1030859,M,25,North America,C
1030860,M,25,Europe,A
1030861,M,35,Africa,C
1030862,M,25,North America,A
1030863,M,18,Unknown,B
1030864,F,45,South America,C
1030865,M,25,North America,C
1030866,M,45,Europe,B
1030867,M,45,Asia,A
1030868,F,18,Europe,B
1030869,F,18,North America,D
1030870,M,25,Asia,B
1030871,M,25,North America,A
1030872,M,18,North America,A
1030873,M,25,North America,B
1030874,M,18,Asia,B
1030875,M,25,Europe,B
1030876,M,35,Unknown,A
1030877,M,25,North America,D
1030878,M,35,South America,D
1030879,M,25,North America,D
1030880,M,25,Asia,D
1030881,M,18,North America,B
1030882,M,25,North America,B
1030883,M,25,Europe,A
1030884,M,18,Asia,C
1030885,M,25,North America,D
1030886,M,18,Africa,B
1030887,M,18,North America,C
1030888,F,18,Unknown,C
1030889,M,45,South America,D
1030890,F,35,North America,B
1030891,M,45,North America,C
1030892,M,25,North America,C
1030893,M,18,North America,B
1030894,M,25,North America,B
1030895,M,35,Asia,D
1030896,F,18,North America,D
1030897,M,35,Europe,C
1030898,M,18,Africa,C
1030899,M,18,North America,A
1030900,M,25,Unknown,C
1030901,M,25,Africa,C
1030902,M,18,North America,B
1030903,M,45,South America,B
1030904,M,18,North America,D
1030905,M,25,Europe,C
1030906,M,18,North America,D
1030907,M,25,Unknown,D
1030908,M,25,North America,C
1030909,M,18,Asia,C
1030910,M,25,Europe,B
1030911,M,45,Europe,D
1030912,F,25,South America,D
1030913,M,18,Europe,D
1030914,M,18,Unknown,B
1030915,M,25,Asia,B
1030916,F,25,Asia,B
1030917,M,35,North America,D
1030918,M,35,North America,C
1030919,M,25,North America,D
1030920,M,25,North America,C
1030921,M,18,North America,D
1030922,M,18,Asia,A
1030923,M,25,Asia,A
1030924,F,0,Asia,C
1030925,M,18,North America,A
1030926,F,18,North America,D
1030927,M,18,Unknown,D
1030928,M,18,North America,B
1030929,M,35,North America,A
1030930,M,45,North America,D
1030931,F,35,Unknown,C
1030932,M,35,Europe,B
1030933,M,18,South America,B
1030934,M,65,North America,C
1030935,M,45,North America,B
1030936,M,35,Asia,D
1030937,M,25,Unknown,C
1030938,M,0,Unknown,A
1030939,M,25,North America,C
1030940,F,35,Europe,A
1030941,M,55,Unknown,B
1030942,M,18,Europe,A
1030943,M,25,Europe,B
1030944,M,25,North America,D
1030945,M,45,Asia,B
1030946,M,25,North America,D
1030947,M,18,Europe,D
1030948,M,18,Europe,D
1030949,M,18,North America,D
1030950,M,25,South America,C
1030951,M,35,Unknown,A
1030952,M,0,Europe,A
1030953,M,45,North America,C
1030954,M,25,Asia,D
1030955,M,18,Africa,C
1030956,M,18,Asia,B
1030957,M,25,Unknown,B
1030958,F,25,Europe,A
1030959,F,18,Africa,D
1030960,F,25,North America,C
1030961,M,45,Unknown,D
1030962,M,25,North America,D
1030963,M,18,Europe,C
1030964,M,35,Europe,C
1030965,M,18,Europe,A
1030966,M,45,Europe,C
1030967,M,25,Unknown,D
1030968,F,35,Unknown,A
1030969,M,35,South America,D
1030970,M,25,Europe,A
1030971,M,35,North America,A
1030972,M,25,Europe,C
1030973,F,18,Asia,D
1030974,F,45,Europe,C
1030975,M,35,Unknown,B
1030976,M,18,Europe,C
1030977,M,25,North America,B
1030978,F,55,North America,C
1030979,M,45,Unknown,D
1030980,M,35,North America,C
1030981,M,25,Europe,D
1030982,M,18,Asia,C
1030983,M,35,North America,A
1030984,M,18,Unknown,D
1030985,M,18,Europe,D
1030986,M,25,North America,D
1030987,M,55,Europe,B
1030988,M,18,Europe,B
1030989,M,25,Asia,C
1030990,M,18,Australia,C
1030991,F,35,North America,A
1030992,F,18,North America,B
1030993,M,35,North America,D
1030994,M,18,Europe,C
1030995,F,25,North America,A
1030996,M,25,Europe,C
1030997,M,18,Europe,D
1030998,M,18,Africa,D
1030999,F,25,North America,D
1031000,M,25,North America,D
1031001,M,0,Europe,C
1031002,M,18,North America,C
1031003,F,18,Unknown,A
1031004,M,18,Europe,B
1031005,M,35,South America,A
1031006,M,18,Asia,D
1031007,F,25,North America,A
1031008,M,25,Europe,A
1031009,M,18,Asia,A
1031010,M,25,Asia,A
1031011,M,35,North America,C
1031012,M,35,North America,C
1031013,M,35,North America,C
1031014,M,25,Asia,D
1031015,M,25,Africa,B
1031016,M,18,North America,C
1031017,F,0,North America,C
1031018,M,18,Europe,A
1031019,M,35,North America,B
1031020,M,35,Unknown,A
1031021,M,25,North America,B
1031022,F,25,North America,C
1031023,M,18,Europe,C
1031024,M,18,Africa,C
1031025,M,18,North America,C
1031026,M,25,Unknown,B
1031027,M,18,Africa,C
1031028,M,18,North America,A
1031029,M,18,North America,C
1031030,M,35,Africa,B
1031031,M,35,North America,C
1031032,M,18,Africa,B
1031033,M,18,North America,D
1031034,M,25,South America,C
1031035,F,25,Unknown,C
1031036,M,35,South America,D
1031037,F,0,Unknown,C
1031038,M,0,Europe,D
1031039,M,55,Europe,B
1031040,M,18,North America,B
1031041,F,18,North America,D
1031042,M,18,North America,D
1031043,M,18,Africa,C
1031044,M,25,North America,C
1031045,M,35,North America,D
1031046,F,0,Europe,D
1031047,M,45,Europe,B
1031048,M,45,Europe,D
1031049,F,35,Africa,D
1031050,M,35,North America,C
1031051,F,18,Unknown,A
1031052,M,18,North America,B
1031053,M,45,Unknown,C
1031054,F,35,Europe,C
1031055,F,18,North America,D
1031056,M,18,Africa,D
1031057,M,18,Europe,D
1031058,M,25,North America,C
1031059,F,35,Africa,C
1031060,M,25,Africa,B
1031061,M,25,Asia,A
1031062,M,18,North America,C
1031063,M,35,Europe,A
1031064,F,25,North America,B
1031065,M,18,Europe,C
1031066,M,35,Africa,B
1031067,F,25,Africa,B
1031068,M,35,Unknown,D
1031069,F,18,Unknown,D
1031070,M,18,North America,C
1031071,M,25,North America,B
1031072,M,35,Unknown,C
1031073,F,45,Africa,A
1031074,F,35,North America,A
1031075,M,45,Europe,B
1031076,M,18,North America,A
1031077,M,18,Europe,B
1031078,M,55,Asia,D
1031079,M,45,Unknown,C
1031080,F,18,North America,A
1031081,M,18,North America,D
1031082,M,18,Europe,A
1031083,M,18,Europe,B
1031084,M,25,North America,C
1031085,M,35,Europe,A
1031086,M,18,Europe,B
1031087,M,18,North America,C
1031088,M,35,Europe,C
1031089,M,18,North America,D
1031090,F,25,Asia,A
1031091,M,35,North America,B
1031092,M,25,Unknown,D
1031093,F,25,Unknown,C
1031094,M,35,Africa,D
1031095,M,35,Europe,C
1031096,M,18,Unknown,C
1031097,F,25,Europe,A
1031098,M,18,Africa,C
1031099,M,25,North America,C
1031100,M,18,Asia,C
1031101,M,25,Asia,B
1031102,M,45,North America,A
1031103,F,25,Asia,D
1031104,M,25,Unknown,A
1031105,M,35,North America,A
1031106,M,25,North America,B
1031107,M,18,Unknown,A
1031108,M,25,Europe,D
1031109,F,25,North America,D
1031110,M,25,North America,B
1031111,M,25,Europe,C
1031112,F,18,Unknown,C
1031113,M,18,North America,C
1031114,M,35,Europe,C
1031115,F,35,North America,A
1031116,M,18,Unknown,C
1031117,F,0,Asia,C
1031118,F,18,North America,A
1031119,M,25,Europe,A
1031120,M,25,South America,D
1031121,M,18,Europe,D
1031122,M,35,North America,A
1031123,M,18,Europe,C
1031124,F,35,North America,C
1031125,F,25,North America,C
1031126,M,25,North America,C
1031127,M,25,Europe,B
1031128,M,35,Asia,D
1031129,M,18,North America,C
1031130,M,18,Africa,A
1031131,M,18,Unknown,A
1031132,M,18,Europe,A
1031133,M,55,Europe,C
1031134,M,25,Europe,D
1031135,M,18,Unknown,B
1031136,M,25,North America,D
1031137,M,35,Africa,C
1031138,F,25,Europe,A
1031139,M,25,South America,A
1031140,M,25,Unknown,A
1031141,F,25,Asia,B
1031142,M,18,North America,C
1031143,M,25,North America,C
1031144,M,18,Africa,C
1031145,M,45,North America,D
1031146,M,18,Europe,D
1031147,M,25,Asia,A
1031148,M,18,North America,A
1031149,M,55,Unknown,D
1031150,F,18,Unknown,A
1031151,F,35,Unknown,A
1031152,M,35,North America,D
1031153,M,25,Europe,B
1031154,M,25,Unknown,D
1031155,M,25,North America,A
1031156,M,25,Europe,C
1031157,M,18,North America,C
1031158,M,25,Europe,A
1031159,F,55,North America,C
1031160,M,35,North America,D
1031161,M,25,Europe,C
1031162,M,65,North America,B
1031163,M,65,North America,C
1031164,M,18,North America,D
1031165,M,18,Africa,D
1031166,M,18,Unknown,A
1031167,M,18,Africa,D
1031168,F,35,Unknown,A
1031169,M,18,South America,A
1031170,M,25,North America,D
1031171,M,25,North America,A
1031172,F,18,North America,D
1031173,M,18,North America,C
1031174,M,25,North America,D
1031175,M,18,Unknown,C
1031176,M,25,Europe,C
1031177,M,0,South America,C
1031178,F,0,Europe,C
1031179,M,18,North America,A
