ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
0,5,0,0,1,95
1,6,0,0,1,65
2,11,0,0,1,51
3,13,0,0,1,43
4,15,0,0,1,37
5,17,0,0,1,36
