ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
0,5,0,0,1,93
1,6,0,0,1,64
2,11,0,0,1,52
3,13,0,0,1,46
4,15,0,0,1,37
5,17,0,0,1,37
