ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
0,5,0,0,1,87
1,6,0,0,1,36
2,11,0,0,1,17
3,13,0,0,1,3
4,15,0,0,1,1
5,17,0,0,1,1
6,5,1,0,1,100
7,6,1,0,1,98
8,11,1,0,1,94
9,13,1,0,1,98
10,15,1,0,1,81
11,17,1,0,1,81
