ROW,HW,STUDENTID,TIMESTAMP,SUBMISSION,SCORE
0,5,1040165,1381054271,1,104
1,6,1040165,1382423851,1,100
2,11,1040165,1382807403,1,105
3,13,1040165,1383402021,1,105
4,15,1040165,1384777587,1,104
5,17,1040165,1384587218,1,100
6,5,1040166,1380973287,1,100
7,6,1040166,0,1,0
8,11,1040166,0,1,0
9,13,1040166,0,1,0
10,15,1040166,0,1,0
11,17,1040166,0,1,0
12,5,1040167,1381412174,1,104
13,6,1040167,1382178232,1,100
14,11,1040167,1383201870,1,0
15,13,1040167,1384183063,1,92.5
16,15,1040167,1384769585,1,51
17,17,1040167,1385373788,1,60.26
18,5,1040168,1381783084,1,104
19,6,1040168,1382395751,1,69
20,11,1040168,0,1,0
21,13,1040168,0,1,0
22,15,1040168,0,1,0
23,17,1040168,0,1,0
24,5,1040169,1381913647,1,100
25,6,1040169,0,1,0
26,11,1040169,0,1,0
27,13,1040169,1383976706,1,102
28,15,1040169,1384238615,1,95
29,17,1040169,0,1,0
30,5,1040170,1381779494,1,104
31,6,1040170,0,1,0
32,11,1040170,0,1,0
33,13,1040170,0,1,0
34,15,1040170,0,1,0
35,17,1040170,0,1,0
36,5,1040171,1381587513,1,104
37,6,1040171,0,1,0
38,11,1040171,0,1,0
39,13,1040171,0,1,0
40,15,1040171,0,1,0
41,17,1040171,0,1,0
42,5,1040172,1381759142,1,104
43,6,1040172,1382457161,1,100
44,11,1040172,1382457336,1,100
45,13,1040172,1383939391,1,105
46,15,1040172,1383939856,1,105
47,17,1040172,1385253354,1,100
48,5,1040173,1381266675,1,104
49,6,1040173,1381970883,1,104
50,11,1040173,1382570877,1,105
51,13,1040173,1383827711,1,105
52,15,1040173,1384637227,1,105
53,17,1040173,1384978007,1,100
54,5,1040174,1382055897,1,100
55,6,1040174,1382796516,1,100
56,11,1040174,1383661165,1,100
57,13,1040174,1385650800,1,100
58,15,1040174,0,1,0
59,17,1040174,0,1,0
60,5,1040175,1381691640,1,100
61,6,1040175,0,1,0
62,11,1040175,0,1,0
63,13,1040175,0,1,0
64,15,1040175,0,1,0
65,17,1040175,0,1,0
66,5,1040176,1381754573,1,96.67
67,6,1040176,1381755881,1,0
68,11,1040176,0,1,0
69,13,1040176,0,1,0
70,15,1040176,0,1,0
71,17,1040176,0,1,0
72,5,1040177,1381467682,1,104
73,6,1040177,1382211677,1,104
74,11,1040177,1382635560,1,105
75,13,1040177,1383782036,1,105
76,15,1040177,1384291330,1,104
77,17,1040177,1385041397,1,100
78,5,1040178,1381677045,1,100
79,6,1040178,1382347802,1,100
80,11,1040178,1382359729,1,99
81,13,1040178,1384208278,1,100
82,15,1040178,1384986704,1,94
83,17,1040178,1385589181,1,59.6
84,5,1040179,1381168434,1,100
85,6,1040179,1382466577,1,88
86,11,1040179,1383159861,1,50
87,13,1040179,1384054289,1,83
88,15,1040179,1384600045,1,56
89,17,1040179,1385434973,1,97.35
90,5,1040180,1381688260,1,100
91,6,1040180,1382290414,1,97
