studentid,gender,agegroup,continent,background
1040396,F,25,North America,A
1040397,F,25,Europe,B
1040398,M,35,North America,C
1040399,M,35,North America,D
1040400,M,25,Europe,C
1040401,F,25,North America,D
1040402,M,18,Asia,D
1040403,M,25,Europe,A
1040404,M,35,Europe,D
1040405,M,25,Asia,C
1040406,F,25,Unknown,B
1040407,M,18,North America,A
1040408,M,45,Africa,A
1040409,M,18,Europe,D
1040410,M,35,Unknown,C
1040411,M,25,South America,A
1040412,M,25,Asia,C
1040413,F,35,Unknown,C
1040414,M,55,Europe,D
1040415,F,35,Asia,B
1040416,M,18,North America,D
1040417,M,55,North America,A
1040418,M,35,Asia,D
1040419,M,45,Unknown,D
1040420,M,25,Asia,C
1040421,M,25,North America,C
1040422,M,35,Africa,B
1040423,F,45,North America,C
1040424,M,18,Africa,A
1040425,M,25,Europe,C
1040426,M,25,Europe,C
1040427,M,25,Australia,C
1040428,M,18,Africa,B
1040429,M,25,Unknown,A
1040430,M,18,North America,C
1040431,F,0,Unknown,A
1040432,F,18,Europe,C
1040433,M,18,Asia,D
1040434,M,45,Africa,B
1040435,M,35,Africa,A
1040436,M,35,North America,C
1040437,M,18,North America,A
1040438,M,25,Unknown,C
1040439,M,45,North America,C
1040440,M,35,Unknown,C
1040441,F,25,Asia,D
1040442,M,25,North America,C
1040443,M,25,Unknown,A
1040444,M,25,Europe,D
1040445,M,35,North America,C
1040446,F,18,North America,C
1040447,M,18,North America,D
1040448,M,18,North America,D
1040449,M,0,Europe,D
1040450,M,35,Unknown,C
1040451,M,25,North America,A
1040452,F,45,Africa,C
1040453,M,0,Unknown,B
1040454,M,25,North America,D
1040455,M,18,Australia,C
1040456,F,18,Europe,C
1040457,M,45,North America,A
1040458,M,18,Unknown,A
1040459,M,25,Africa,C
1040460,M,25,Asia,A
1040461,M,25,Asia,C
1040462,M,18,North America,C
1040463,M,25,North America,C
1040464,M,25,North America,D
1040465,M,25,Africa,A
1040466,F,25,North America,D
1040467,M,25,Unknown,D
1040468,F,25,North America,A
1040469,M,18,North America,A
1040470,F,18,North America,C
1040471,M,18,South America,C
1040472,M,0,North America,C
1040473,M,45,Unknown,A
1040474,M,25,North America,C
1040475,M,25,Europe,C
1040476,F,18,Asia,C
1040477,F,18,South America,C
1040478,M,35,Europe,D
1040479,F,25,North America,C
1040480,F,25,Asia,D
1040481,M,45,North America,C
1040482,M,18,Unknown,B
1040483,M,18,Asia,A
1040484,M,18,North America,B
1040485,F,35,South America,C
1040486,F,25,North America,D
1040487,M,18,North America,C
1040488,M,18,South America,B
1040489,F,55,Africa,C
1040490,M,25,Unknown,C
1040491,M,18,Europe,D
1040492,M,25,South America,C
1040493,M,25,Unknown,B
1040494,M,18,North America,D
1040495,M,18,North America,D
1040496,F,25,Europe,D
1040497,M,18,Africa,C
1040498,M,65,Europe,D
1040499,M,18,Asia,D
1040500,M,25,North America,B
1040501,M,18,Europe,B
1040502,M,18,North America,A
1040503,M,35,North America,B
1040504,M,18,Asia,B
1040505,M,35,North America,D
1040506,F,25,North America,B
1040507,M,18,Unknown,B
1040508,M,18,Asia,A
1040509,M,18,North America,D
1040510,M,35,North America,A
1040511,M,35,Asia,B
1040512,M,18,Europe,B
1040513,M,18,Asia,B
1040514,M,25,Europe,B
1040515,M,0,Europe,A
1040516,M,18,North America,A
1040517,M,25,Africa,A
1040518,M,35,Europe,D
1040519,M,35,Africa,D
1040520,M,18,Unknown,D
1040521,M,18,Unknown,B
1040522,M,35,Unknown,C
1040523,M,25,Europe,A
1040524,F,25,North America,B
1040525,M,35,North America,D
1040526,M,18,Europe,B
1040527,M,18,Asia,A
1040528,M,55,Europe,C
1040529,M,18,Africa,A
1040530,M,35,North America,D
1040531,F,35,North America,C
1040532,M,18,Europe,C
1040533,M,18,North America,A
1040534,M,18,North America,C
1040535,M,25,Europe,C
1040536,F,55,Europe,A
1040537,M,18,Asia,A
1040538,M,25,Europe,C
1040539,M,25,Europe,C
1040540,M,25,Europe,C
1040541,M,35,North America,B
1040542,M,18,North America,C
1040543,M,18,Unknown,A
1040544,M,35,North America,C
1040545,M,35,North America,A
1040546,M,45,Unknown,C
1040547,M,45,Asia,A
1040548,M,35,Europe,A
1040549,F,18,Europe,A
1040550,M,18,North America,A
1040551,M,18,North America,B
1040552,M,18,Europe,B
1040553,F,35,North America,A
1040554,M,35,Unknown,D
1040555,M,18,Europe,C
1040556,M,18,North America,A
1040557,M,25,South America,D
1040558,M,35,South America,C
1040559,M,25,North America,C
1040560,M,45,North America,C
1040561,M,18,Unknown,B
1040562,F,18,Europe,A
1040563,M,18,Asia,B
1040564,M,25,North America,D
1040565,M,18,Europe,B
1040566,F,25,Europe,B
1040567,M,45,North America,C
1040568,M,25,Unknown,C
1040569,M,18,Asia,A
1040570,M,18,North America,C
1040571,M,35,Unknown,C
1040572,M,25,Asia,C
1040573,M,18,Asia,D
1040574,M,18,Asia,B
1040575,M,25,North America,D
1040576,F,25,Europe,C
1040577,M,35,Europe,B
1040578,M,35,Europe,C
1040579,M,25,North America,A
1040580,F,35,South America,B
1040581,M,18,Asia,B
1040582,M,25,Asia,A
1040583,M,25,Unknown,C
1040584,M,18,Africa,C
1040585,M,25,North America,A
1040586,M,18,North America,C
1040587,F,35,North America,D
1040588,M,35,North America,D
1040589,M,18,Europe,D
1040590,F,25,Asia,A
1040591,M,18,North America,C
1040592,M,25,Europe,D
1040593,M,18,North America,C
1040594,M,18,South America,D
1040595,M,25,Unknown,C
1040596,M,35,North America,D
1040597,M,25,Asia,B
1040598,M,25,Unknown,A
1040599,M,18,Europe,A
1040600,F,65,South America,A
1040601,M,0,Europe,B
1040602,M,18,South America,A
1040603,M,35,Europe,D
1040604,F,18,North America,D
1040605,M,18,South America,D
1040606,M,25,Europe,D
1040607,M,18,South America,D
1040608,M,18,Asia,D
1040609,F,25,North America,C
1040610,M,25,Europe,A
1040611,F,55,North America,D
1040612,M,18,North America,D
1040613,M,18,Unknown,C
1040614,M,18,North America,D
1040615,M,35,Australia,D
1040616,M,25,Europe,C
1040617,M,35,Africa,C
1040618,M,25,Europe,C
1040619,M,25,Asia,C
1040620,F,18,South America,A
1040621,M,18,South America,D
1040622,M,55,North America,A
1040623,M,18,North America,D
1040624,M,35,Unknown,B
1040625,M,25,Asia,B
1040626,M,25,North America,C
1040627,M,18,South America,D
1040628,M,25,Unknown,D
1040629,M,25,Europe,A
1040630,M,25,North America,C
1040631,F,18,South America,C
1040632,M,25,Unknown,C
1040633,M,25,Unknown,A
1040634,F,35,North America,C
1040635,F,35,North America,C
1040636,M,18,Asia,B
1040637,M,25,North America,A
1040638,M,35,Unknown,C
1040639,F,18,North America,C
1040640,M,18,Europe,C
1040641,M,45,Unknown,C
1040642,M,18,Europe,C
1040643,M,18,Asia,D
1040644,M,25,North America,C
1040645,F,18,North America,D
1040646,M,18,Europe,C
1040647,F,35,Africa,B
1040648,M,18,North America,B
1040649,M,18,Unknown,D
1040650,M,18,North America,C
1040651,M,18,Unknown,C
1040652,F,45,Unknown,C
1040653,M,25,Africa,C
1040654,M,18,North America,B
1040655,M,25,Africa,C
1040656,M,25,South America,A
1040657,M,18,Unknown,C
1040658,M,35,North America,C
1040659,M,25,Europe,C
1040660,M,35,North America,C
1040661,M,25,Europe,B
1040662,M,25,North America,C
1040663,M,18,Unknown,D
1040664,M,18,Unknown,D
1040665,M,25,North America,D
1040666,F,18,Asia,B
1040667,M,45,Unknown,D
1040668,M,35,North America,A
1040669,M,25,Europe,A
1040670,M,25,North America,D
1040671,M,25,Asia,B
1040672,M,45,North America,C
1040673,F,25,Unknown,C
1040674,M,18,Europe,D
1040675,M,45,North America,C
1040676,F,18,North America,A
1040677,M,25,Africa,C
1040678,M,25,Europe,D
1040679,F,25,North America,C
1040680,F,25,South America,C
1040681,M,0,Europe,C
1040682,M,25,North America,D
1040683,M,25,North America,C
1040684,M,0,North America,C
1040685,M,18,Europe,C
1040686,M,25,Asia,C
1040687,M,18,Asia,D
1040688,M,18,Europe,C
1040689,M,25,Unknown,D
1040690,F,25,Unknown,B
1040691,M,25,Africa,C
1040692,M,25,Europe,C
1040693,M,18,North America,D
1040694,M,18,North America,A
1040695,M,25,Asia,C
1040696,F,35,Europe,D
1040697,M,35,Europe,D
1040698,M,25,Europe,A
1040699,M,25,Asia,C
1040700,M,25,Europe,C
1040701,M,25,North America,B
1040702,M,55,Africa,D
1040703,M,18,Asia,C
1040704,F,18,Africa,C
1040705,M,18,North America,D
1040706,M,25,Europe,D
1040707,M,18,Unknown,B
1040708,M,35,North America,B
1040709,F,25,Asia,B
1040710,M,0,Asia,C
1040711,F,18,North America,D
1040712,M,25,North America,C
1040713,M,18,North America,A
1040714,M,25,Unknown,C
1040715,M,18,Europe,C
1040716,M,25,Asia,C
1040717,M,25,Africa,C
1040718,M,18,Europe,D
1040719,M,25,Unknown,A
1040720,M,25,Asia,D
1040721,M,25,North America,A
1040722,M,0,Europe,C
1040723,M,25,North America,D
1040724,M,18,North America,C
1040725,F,25,Unknown,D
1040726,M,25,Asia,A
1040727,F,25,North America,C
1040728,F,35,North America,B
1040729,M,18,Europe,C
1040730,M,35,North America,C
1040731,F,25,North America,B
1040732,M,45,North America,C
1040733,M,25,Asia,C
1040734,M,18,Europe,B
1040735,M,35,Europe,A
1040736,M,35,Europe,C
1040737,M,18,Unknown,C
1040738,M,25,Asia,C
1040739,M,25,North America,B
1040740,M,25,North America,C
1040741,M,35,North America,C
1040742,M,18,Africa,A
1040743,M,25,North America,D
1040744,M,18,North America,C
1040745,M,18,North America,C
1040746,M,18,Unknown,B
1040747,M,18,North America,A
1040748,M,25,Europe,C
1040749,M,18,North America,C
1040750,M,45,North America,C
1040751,M,45,Europe,C
1040752,F,25,North America,B
1040753,M,18,North America,C
1040754,M,25,Unknown,A
1040755,M,35,North America,A
1040756,M,18,South America,C
1040757,F,18,Asia,D
1040758,M,0,North America,C
1040759,M,45,North America,A
1040760,M,18,North America,C
1040761,M,35,Europe,B
1040762,M,25,North America,D
1040763,M,18,North America,D
1040764,M,25,North America,A
1040765,F,18,Europe,A
1040766,M,18,Unknown,D
1040767,M,25,Unknown,A
1040768,M,18,Europe,A
1040769,F,18,Europe,D
1040770,M,25,Asia,B
1040771,M,45,North America,D
1040772,F,25,Asia,A
1040773,M,25,Europe,D
1040774,M,35,North America,C
1040775,M,25,Asia,B
1040776,M,25,Unknown,A
1040777,M,25,Africa,C
1040778,M,25,North America,A
1040779,M,18,Europe,D
1040780,M,18,Europe,C
1040781,M,18,North America,A
1040782,M,18,North America,B
1040783,M,25,North America,A
1040784,M,18,North America,C
1040785,M,35,Europe,B
1040786,M,25,North America,D
1040787,M,18,Europe,B
1040788,M,18,Asia,D
1040789,M,25,Unknown,D
1040790,M,25,Africa,B
1040791,M,25,Europe,B
1040792,M,25,Asia,A
1040793,M,35,Europe,B
1040794,M,18,Asia,B
1040795,M,25,North America,D
1040796,F,0,North America,A
1040797,M,35,North America,A
1040798,M,35,North America,C
1040799,M,25,Europe,B
1040800,M,25,Asia,A
1040801,M,18,North America,A
1040802,M,25,Unknown,C
1040803,M,25,Asia,C
1040804,M,18,Unknown,D
1040805,M,25,North America,C
1040806,M,18,Asia,D
1040807,M,25,North America,D
1040808,M,25,Europe,C
1040809,F,18,North America,C
1040810,M,25,Asia,C
1040811,F,25,Africa,C
1040812,M,55,Africa,C
1040813,F,18,North America,C
1040814,F,18,Europe,C
1040815,M,25,Europe,C
1040816,F,25,Europe,D
1040817,M,25,Europe,C
1040818,M,35,Unknown,A
1040819,M,35,North America,B
1040820,M,25,North America,A
1040821,M,25,Unknown,D
1040822,M,35,Asia,C
1040823,F,35,Africa,D
1040824,M,25,Europe,A
1040825,M,18,North America,B
1040826,M,25,Asia,C
1040827,M,25,Africa,A
1040828,F,18,Unknown,A
1040829,M,25,North America,D
1040830,M,18,Europe,D
1040831,M,25,Asia,C
1040832,M,25,North America,A
1040833,F,18,Europe,C
1040834,M,18,Africa,A
1040835,M,25,North America,A
1040836,M,35,Asia,A
1040837,M,18,North America,B
1040838,M,18,North America,D
1040839,M,25,North America,C
1040840,M,25,North America,D
1040841,M,18,Unknown,C
1040842,M,18,North America,B
1040843,M,18,North America,C
1040844,M,35,Asia,B
1040845,M,55,North America,C
1040846,M,18,Europe,C
1040847,F,18,North America,A
1040848,F,25,North America,B
1040849,M,25,Unknown,C
1040850,F,25,Unknown,D
1040851,M,35,South America,C
1040852,M,35,South America,B
1040853,F,35,Asia,C
1040854,M,25,North America,B
1040855,F,35,Europe,C
1040856,M,18,Asia,A
1040857,M,18,Unknown,D
1040858,M,25,Asia,C
1040859,M,18,Asia,C
1040860,M,18,Africa,B
1040861,M,25,North America,A
1040862,F,18,Europe,B
1040863,M,45,North America,D
1040864,F,45,North America,D
1040865,M,35,North America,A
1040866,F,18,Europe,B
1040867,M,25,North America,D
1040868,M,0,Asia,C
1040869,M,25,Europe,C
1040870,M,25,North America,C
1040871,M,55,Asia,A
1040872,M,18,Unknown,A
1040873,M,25,North America,C
1040874,M,35,North America,C
1040875,M,25,Unknown,C
1040876,M,25,North America,C
1040877,M,45,Asia,D
1040878,M,18,Asia,A
1040879,M,18,North America,D
1040880,M,18,Asia,D
1040881,M,25,Asia,C
